0.00,0.00
0.08,0.15
0.26,0.40
0.41,0.58
0.45,0.61
0.55,0.71
0.54,0.67
0.63,0.75
0.59,0.70
0.66,0.77
0.61,0.72
0.67,0.79
0.62,0.72
0.67,0.79
0.61,0.72
0.66,0.80
0.66,0.81
0.66,0.81
0.61,0.73
0.67,0.81
0.62,0.73
0.67,0.81
0.61,0.73
0.66,0.82
0.61,0.73
0.67,0.81
0.62,0.75
0.67,0.82
0.61,0.75
0.67,0.82
0.64,0.82
0.66,0.82
0.59,0.75
0.66,0.82
0.61,0.75
0.67,0.82
0.62,0.76
0.68,0.82
0.62,0.76
0.67,0.82
0.62,0.75
0.68,0.82
0.61,0.76
0.67,0.82
0.61,0.75
0.64,0.82
0.66,0.84
0.67,0.82
0.62,0.75
0.67,0.82
0.62,0.76
0.66,0.82
0.61,0.75
0.66,0.82
0.61,0.75
0.66,0.81
0.62,0.75
0.67,0.82
0.62,0.75
0.68,0.82
0.68,0.82
0.68,0.82
0.62,0.75
0.70,0.82
0.62,0.75
0.68,0.82
0.62,0.73
0.68,0.82
0.62,0.75
0.67,0.82
0.61,0.75
0.66,0.82
0.61,0.76
0.67,0.84
0.61,0.75
0.66,0.82
0.67,0.82
0.66,0.82
0.59,0.76
0.66,0.81
0.61,0.75
0.67,0.82
0.62,0.75
0.67,0.82
0.61,0.75
0.67,0.82
0.62,0.75
0.67,0.82
0.61,0.73
0.67,0.82
0.67,0.82
0.67,0.84
0.61,0.75
0.66,0.82
0.59,0.76
0.66,0.84
0.61,0.75
0.67,0.81
0.62,0.76
0.67,0.82
0.63,0.76
0.68,0.82
0.62,0.75
0.68,0.82
0.63,0.75
0.68,0.82
0.68,0.84
0.67,0.84
0.61,0.76
0.67,0.82
0.61,0.75
0.67,0.82
0.61,0.75
0.67,0.82
0.61,0.76
0.67,0.82
0.61,0.76
0.67,0.84
0.59,0.76
0.66,0.84
0.66,0.84
0.64,0.84
0.61,0.76
0.67,0.84
0.61,0.76
0.67,0.84
0.61,0.76
0.66,0.84
0.59,0.75
0.63,0.82
0.59,0.76
0.67,0.82
0.61,0.76
0.68,0.82
0.61,0.73
0.67,0.84
0.66,0.82
0.68,0.84
0.61,0.77
0.68,0.82
0.62,0.76
0.67,0.82
0.62,0.76
0.68,0.85
0.62,0.76
0.67,0.84
0.62,0.76
0.68,0.84
0.62,0.76
0.68,0.82
0.67,0.84
0.67,0.80
0.62,0.76
0.67,0.82
0.61,0.76
0.67,0.84
0.62,0.76
0.67,0.84
0.62,0.76
0.67,0.84
0.61,0.76
0.68,0.84
0.61,0.77
0.67,0.84
0.62,0.77
0.68,0.84
0.67,0.82
0.67,0.84
0.61,0.75
0.67,0.82
0.61,0.75
0.67,0.84
0.61,0.76
0.66,0.84
